subject,accuracy,acc_0,acc_1,acc_2,bacc
CA101,0.9493996569468267,0.7984496124031008,0.8503937007874016,0.9846153846153847,0.8778195659352956
CA102,0.9,0.8379746835443038,0.9431818181818182,0.9061371841155235,0.8957645619472152
CA104,0.8518957345971564,0.9323467230443975,0.7533783783783784,0.7333333333333333,0.8063528115853696
CA106,0.8068181818181818,0.6395563770794824,0.8796875,0.946031746031746,0.8217585410370761
CA110,0.7807881773399015,0.8486997635933806,0.7639344262295082,0.5,0.7042113966076297
CA111,0.8816053511705686,0.9263803680981595,0.9276315789473685,0.8057040998217468,0.8865720156224249
CA113,0.882295719844358,0.9216061185468452,0.8079800498753117,0.9711538461538461,0.9002466715253344
CA114,0.823905109489051,0.8895131086142322,0.9093406593406593,0.4898989898989899,0.7629175859512939
CA121,0.6415458937198067,0.515686274509804,0.7415458937198067,0.8468468468468469,0.7013596716921526
CA124,0.9480037140204272,0.9206642066420664,0.9787234042553191,0.9642857142857143,0.9545577750610333
CA127,0.860632183908046,0.9123222748815166,0.7932692307692307,0.7424242424242424,0.81600524935833
CA128,0.6493333333333333,0.6708074534161491,0.6506024096385542,0.5729166666666666,0.63144217657379
CA131,0.7284552845528456,0.8485254691689008,0.509375,0.6097560975609756,0.6558855222432922
CA138,0.6442432082794308,0.645,0.5758754863813229,0.7931034482758621,0.6713263115523951
CA140,0.8257042253521126,0.8348623853211009,0.9106145251396648,0.532258064516129,0.7592449916589649
CA144,0.8985879332477535,0.9664031620553359,0.7990654205607477,0.6779661016949152,0.8144782281036663
CA145,0.7819037656903766,0.8315677966101694,0.6897106109324759,0.8121387283236994,0.7778057119554482
CA147,0.7829993089149966,0.8112449799196787,0.7905544147843943,0.6666666666666666,0.7561553537902466
CA150,0.8531791907514451,0.7595307917888563,0.9583333333333334,0.8425,0.8534547083740632
CA152,0.7754749568221071,0.9351851851851852,0.6105263157894737,0.46153846153846156,0.6690833208377068
CA154,0.8361538461538461,0.9130434782608695,0.7151335311572701,0.7292817679558011,0.7858195924579802
CA160,0.8686440677966102,0.8884462151394422,0.8860759493670886,0.746031746031746,0.8401846368460922
CA163,0.8719424460431655,0.8403908794788274,0.893030794165316,0.9119496855345912,0.8817904530595783
CA166,0.8154574132492114,0.8873239436619719,0.8523489932885906,0.4725274725274725,0.7374001364926784
CA170,0.8866525423728814,0.8941684665226782,0.8865435356200527,0.8529411764705882,0.8778843928711063
CA172,0.827027027027027,0.8788819875776398,0.7398843930635838,0.8,0.8062554602137412
CB002,0.8530927835051546,0.8891752577319587,0.7857142857142857,0.9148936170212766,0.8632610534891736
CB008,0.7482161060142711,0.7901234567901234,0.7752525252525253,0.43434343434343436,0.6665731387953611
CB009,0.9032258064516129,0.9558011049723757,0.9120879120879121,0.8395061728395061,0.9024650632999313
CB011,0.7753086419753087,0.7397959183673469,0.8707482993197279,0.6612903225806451,0.75727818008924
CB012,0.8620331950207469,0.8104166666666667,0.9603174603174603,0.7452830188679245,0.8386723819506838
CB016,0.6319290465631929,0.5811965811965812,0.8012820512820513,0.39344262295081966,0.5919737518098174
CB023,0.8648648648648649,0.8404255319148937,0.8553459119496856,0.9666666666666667,0.8874793701770819
CB027,0.850597609561753,0.9121813031161473,0.8792102206736353,0.6917808219178082,0.8277241152358635
CB028,0.7334070796460177,0.7924528301886793,0.8087591240875912,0.48293963254593175,0.6947171956074008
CB029,0.8037974683544303,0.8924949290060852,0.72,0.6888888888888889,0.7671279392983248
CB030,0.6510791366906474,0.7540983606557377,0.7355371900826446,0.0,0.49654518357946076
CB031,0.745475113122172,0.39,0.8231511254019293,0.7695560253699789,0.660902383590636
CB035,0.7258883248730964,0.9961538461538462,0.4594594594594595,0.7083333333333334,0.7213155463155463
CB036,0.8178807947019867,0.8,0.8895027624309392,0.6981132075471698,0.795871989992703
CB041,0.8262638001162115,0.7404092071611253,0.7672634271099744,0.9908759124087592,0.832849515559953
CB045,0.7070588235294117,0.6666666666666666,0.8209459459459459,0.525,0.6708708708708708
CB061,0.728891820580475,0.48418491484184917,0.8474801061007957,0.7606837606837606,0.6974495938754686
CB063,0.9249329758713136,0.9471698113207547,1.0,0.5172413793103449,0.8214703968770332
CB074,0.8929845422116528,0.8908450704225352,0.9326732673267327,0.8369230769230769,0.8868138048907817
CB081,0.7570332480818415,0.7245657568238213,0.822742474916388,0.675,0.7407694105800697
CB082,0.4764705882352941,0.35526315789473684,0.5789473684210527,0.5555555555555556,0.4965886939571151
CB084,0.928654970760234,0.9392575928008999,0.9501133786848073,0.8789473684210526,0.9227727799689199
CB085,0.7851182197496523,0.855,0.6590389016018307,0.7810945273631841,0.7650444763216716
